Pair,Seed,F1 Score,Training Time,Inference Time
ds_ia,1000,0.7555550419756132,54.096521854400635,0.0002662390470504761
ds_ia,42,0.7857137582911345,55.377044439315796,0.0002696812152862549
ds_ia,3000,0.7391299177696944,54.02335000038147,0.0002687796950340271
b2_fz,3000,0.74285663346968,66.25797605514526,0.0002688094973564148
b2_fz,42,0.0,64.99545478820801,0.0002690330147743225
b2_fz,1000,0.435643214979184,65.7611997127533,0.00026632845401763916
fz_b2,1000,0.0,37.42998170852661,0.0002933591604232788
fz_b2,3000,0.0,38.42292499542236,0.00027323514223098755
fz_b2,42,0.2727270123968518,37.051819801330566,0.00026752054691314697
b2_dzy,3000,0.0,65.61970233917236,0.0002708807587623596
b2_dzy,1000,0.0,66.5645649433136,0.0002679601311683655
b2_dzy,42,0.0,64.90069723129272,0.0002638474106788635
dzy_b2,42,0.6428566607145759,38.289936542510986,0.0002654269337654114
dzy_b2,1000,0.5925921316875272,38.02075386047363,0.00026478618383407593
dzy_b2,3000,0.0,38.54777717590332,0.00026939064264297485
computers_watches,1000,0.8093018255059846,598.1462225914001,0.00026967376470565796
computers_watches,42,0.7699243144918104,591.502370595932,0.00026977062225341797
computers_watches,3000,0.7826081955560436,588.0855846405029,0.0002667158842086792
watches_computers,1000,0.8214899658849214,738.1021180152893,0.0002680942416191101
watches_computers,42,0.8049150151890393,738.7189910411835,0.0002667233347892761
watches_computers,3000,0.7641504425955548,726.7016820907593,0.0002690926194190979
cameras_watches,42,0.7446500075420242,582.5452134609222,0.0002683475613594055
cameras_watches,1000,0.7572810653799182,596.9316082000732,0.0002735257148742676
cameras_watches,3000,0.779910877871885,586.7104935646057,0.0002666860818862915
watches_cameras,1000,0.7833567527735161,495.19587683677673,0.0002689063549041748
watches_cameras,42,0.7827375986486256,491.5094828605652,0.00027042627334594727
watches_cameras,3000,0.8054706260569754,491.5763416290283,0.000266149640083313
shoes_watches,1000,0.7562038850533335,581.8478939533234,0.00027064234018325806
shoes_watches,42,0.7602334234468496,582.8963258266449,0.00027158111333847046
shoes_watches,3000,0.7277851233051669,588.0097916126251,0.0002696886658668518
watches_shoes,42,0.7512685331069145,539.4588119983673,0.0002689957618713379
watches_shoes,3000,0.6677735841661121,536.0788502693176,0.0002679675817489624
watches_shoes,1000,0.7496291335816697,539.2044188976288,0.0002674311399459839
computers_shoes,42,0.7371690178284118,539.9711484909058,0.0002682432532310486
computers_shoes,3000,0.7340715344038327,533.3660652637482,0.00026755034923553467
computers_shoes,1000,0.750732642856852,537.7300610542297,0.00026632100343704224
shoes_computers,42,0.7104132030748124,731.506097316742,0.00027092546224594116
shoes_computers,1000,0.7112965824597903,729.8288366794586,0.000270254909992218
shoes_computers,3000,0.7377516684304274,738.871835231781,0.0002656504511833191
cameras_shoes,42,0.6333803930235917,532.2081933021545,0.00026864558458328247
cameras_shoes,3000,0.6897502048867379,537.3521237373352,0.0002695024013519287
cameras_shoes,1000,0.7023493910998604,539.9780058860779,0.00026635080575942993
shoes_cameras,1000,0.7552233838007248,490.906840801239,0.00026986002922058105
shoes_cameras,3000,0.7098760437627321,491.27715134620667,0.0002726837992668152
shoes_cameras,42,0.7221292812924799,489.1114501953125,0.00027085840702056885
computers_cameras,1000,0.8540367667627607,498.59491300582886,0.0002673342823982239
computers_cameras,3000,0.8348618861771044,497.7954626083374,0.00027048587799072266
computers_cameras,42,0.8267085604376674,492.53423166275024,0.00027145445346832275
cameras_computers,3000,0.7554940188763524,731.50164103508,0.0002695322036743164
cameras_computers,1000,0.783744063397546,739.2571194171906,0.00027050822973251343
cameras_computers,42,0.7803463273918023,739.7403609752655,0.00026983022689819336
